pattern,sample_id,label,p1_company_1_id,p1_company_1_jurisdiction,p1_company_1_cin_present,p1_company_1_pan_present,p1_company_1_age_years,p1_company_1_revenue_cr,p1_company_1_employee_count,p1_company_1_is_shell,p1_company_2_id,p1_company_2_jurisdiction,p1_company_2_cin_present,p1_company_2_pan_present,p1_company_2_age_years,p1_company_2_revenue_cr,p1_company_2_employee_count,p1_company_2_is_shell,p1_company_3_id,p1_company_3_jurisdiction,p1_company_3_cin_present,p1_company_3_pan_present,p1_company_3_age_years,p1_company_3_revenue_cr,p1_company_3_employee_count,p1_company_3_is_shell,p1_tx1_from,p1_tx1_to,p1_tx1_amount_cr,p1_tx1_date,p1_tx1_type,p1_tx2_from,p1_tx2_to,p1_tx2_amount_cr,p1_tx2_date,p1_tx2_type,p1_tx3_from,p1_tx3_to,p1_tx3_amount_cr,p1_tx3_date,p1_tx3_type,num_dtaa_jurisdictions,num_companies,has_layering_jurisdiction,p2_borrower_id,p2_borrower_jurisdiction,p2_borrower_cin_present,p2_borrower_pan_present,p2_borrower_age_years,p2_borrower_revenue_cr,p2_borrower_employee_count,p2_borrower_is_shell,p2_shell_1_id,p2_shell_1_jurisdiction,p2_shell_1_cin_present,p2_shell_1_pan_present,p2_shell_1_age_years,p2_shell_1_revenue_cr,p2_shell_1_employee_count,p2_shell_1_is_shell,p2_bank_1_id,p2_bank_1_bank,p2_bank_1_jurisdiction,p2_tx1_from_entity_id,p2_tx1_to_entity_id,p2_tx1_from_bank,p2_tx1_to_bank,p2_tx1_amount_cr,p2_tx1_date,p2_tx1_type,p2_tx2_from_entity_id,p2_tx2_to_entity_id,p2_tx2_from_bank,p2_tx2_to_bank,p2_tx2_amount_cr,p2_tx2_date,p2_tx2_type,p2_tx3_from_entity_id,p2_tx3_to_entity_id,p2_tx3_from_bank,p2_tx3_to_bank,p2_tx3_amount_cr,p2_tx3_date,p2_tx3_type,repayment_coincides_with_new_loan,new_loan_within_days_of_due_date,n_loan_cycles,p3_indian_id,p3_indian_jurisdiction,p3_indian_cin_present,p3_indian_pan_present,p3_indian_age_years,p3_indian_revenue_cr,p3_indian_employee_count,p3_indian_is_shell,p3_foreign_id,p3_foreign_jurisdiction,p3_foreign_cin_present,p3_foreign_pan_present,p3_foreign_age_years,p3_foreign_revenue_cr,p3_foreign_employee_count,p3_foreign_is_shell,p3_inv1_from_entity,p3_inv1_to_entity,p3_inv1_declared_value_lakhs,p3_inv1_date,p3_inv2_from_entity,p3_inv2_to_entity,p3_inv2_declared_value_lakhs,p3_inv2_date,p3_inv3_from_entity,p3_inv3_to_entity,p3_inv3_declared_value_lakhs,p3_inv3_date,goods_easily_mispriced,foreign_entity_employee_count,n_invoices,p4_person_id,p4_person_jurisdiction,p4_person_pan_present,p4_person_age_years,p4_person_is_pep,p4_person_declared_income_lakhs,p4_bank_id,p4_bank_bank,p4_bank_jurisdiction,p4_tx1_amount_cr,p4_tx1_type,p4_tx1_date,p4_tx2_amount_cr,p4_tx2_type,p4_tx2_date,p4_tx3_amount_cr,p4_tx3_type,p4_tx3_date,cash_to_wire_ratio,wire_within_7_days_of_cash,all_deposits_below_ctr_threshold,p5_real_owner_id,p5_real_owner_jurisdiction,p5_real_owner_pan_present,p5_real_owner_age_years,p5_real_owner_is_pep,p5_nominee_1_id,p5_nominee_1_jurisdiction,p5_nominee_1_pan_present,p5_nominee_1_age_years,p5_property_1_id,p5_property_1_registered_owner_id,p5_property_1_actual_owner_id,p5_property_1_value_cr,p5_property_1_registration_date,p5_shell_1_id,p5_shell_1_director_id,p5_shell_1_beneficial_owner_id,nominees_same_introducer,shells_have_zero_revenue,affordability_ratio,p6_pep_id,p6_pep_jurisdiction,p6_pep_is_pep,p6_pep_age_years,p6_contractor_id,p6_contractor_jurisdiction,p6_contractor_cin_present,p6_contractor_pan_present,p6_contractor_age_years,p6_contractor_revenue_cr,p6_contractor_employee_count,p6_contractor_is_shell,p6_shell_id,p6_shell_jurisdiction,p6_shell_is_shell,p6_government_id,p6_government_jurisdiction,p6_tx1_from,p6_tx1_to,p6_tx1_amount_cr,p6_tx1_date,p6_tx1_type,p6_tx2_from,p6_tx2_to,p6_tx2_amount_cr,p6_tx2_date,p6_tx2_type,p6_tx3_from,p6_tx3_to,p6_tx3_amount_cr,p6_tx3_date,p6_tx3_type,shell_has_single_client,shell_client_is_govt_contractor,pep_approved_contract
P1,S1-51782D63,1,CO-DDA3A0F1,IN,True,True,14.696801676241794,188.34,157,False,CO-400C2D8E,NL,False,False,1.5620126815665165,0,0,True,CO-B6B7C491,IN,True,True,1.785403970116895,12.95,94,False,CO-DDA3A0F1,CO-400C2D8E,10.61,2025-05-05,OVERSEAS_INVESTMENT,CO-400C2D8E,CO-985EBB76,9.649941178637443,2025-05-25,INTER_COMPANY_TRANSFER,CO-985EBB76,CO-B6B7C491,9.367480101558552,2025-07-04,FDI_EQUITY,1,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-BD10A8DF,0,CO-E95A3B2C,IN,True,True,10.772920917225424,158.33,348,False,CO-CBE59DFC,UK,False,False,0.6263510115697297,0,0,True,CO-EED885D3,IN,True,True,2.14299352576407,10.74,23,False,CO-E95A3B2C,CO-CBE59DFC,65.17,2025-07-11,EXPORT_ADVANCE,CO-CBE59DFC,CO-EED885D3,61.558021063587105,2025-08-15,FDI_EQUITY,,,,,,1,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-29A4B897,0,CO-D5814FBD,AU,,,36.981832837281324,2924.59,4269,False,CO-0E4B926A,IN,True,True,4.712930367472154,123.86,154,False,,,,,,,,,CO-D5814FBD,CO-0E4B926A,196.81,2025-10-05,FDI_EQUITY,,,,,,,,,,,0,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-FA380870,0,CO-1997905E,IN,True,True,11.173257933575712,412.42,274,False,CO-AF39F471,SG,False,False,0.6431189437856112,0,0,True,,,,,,,,,CO-1997905E,CO-AF39F471,162.55,2025-07-16,LOAN_TO_SUBSIDIARY,,,,,,,,,,,1,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-10CBD348,1,CO-ABBF1932,IN,True,True,13.682307504272842,110.57,100,False,CO-FE3F5204,NL,False,False,1.745337271655117,0,0,True,CO-DA079615,IN,True,True,3.487867046094913,18.67,19,False,CO-ABBF1932,CO-FE3F5204,26.07,2024-12-19,LOAN_TO_SUBSIDIARY,CO-FE3F5204,CO-DFCE7201,24.48950627785713,2025-01-17,INTER_COMPANY_TRANSFER,CO-DFCE7201,CO-DA079615,23.738894583571454,2025-03-23,FDI_EQUITY,1,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-D60FC8C4,1,CO-0BFFC39D,IN,True,True,14.68075747535865,212.67,327,False,CO-E07B26BC,UK,False,False,1.0111612155666692,0,0,True,CO-F40394EF,IN,True,True,1.8229353010097515,81.1,53,False,CO-0BFFC39D,CO-E07B26BC,87.65,2025-06-16,LOAN_TO_SUBSIDIARY,CO-E07B26BC,CO-8636A519,82.36965328503766,2025-07-16,INTER_COMPANY_TRANSFER,CO-8636A519,CO-F40394EF,77.30137448993646,2025-09-02,FDI_EQUITY,0.7794459089184567,4.561683243262588,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-4E495AB6,0,CO-C6156359,IN,True,True,24.463170005000677,1080.38,809,False,CO-E70398FF,JP,,,4.9325922100016735,68.89,60,False,,,,,,,,,CO-C6156359,CO-E70398FF,97.12,2024-09-20,ODI_EQUITY,,,,,,,,,,,0,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-52C0132D,1,CO-54EF134F,IN,True,True,4.650254954100845,415.24,405,False,CO-D31601B3,NL,False,False,0.6360355935863757,0,0,True,CO-021DD926,IN,True,True,4.734303317527166,17.2,92,False,CO-54EF134F,CO-D31601B3,56.74,2025-04-13,LOAN_TO_SUBSIDIARY,CO-D31601B3,CO-021DD926,52.4745842187388,2025-08-17,FDI_EQUITY,,,,,,1,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-1F4AB964,1,CO-65457DE7,IN,True,True,13.989535962629187,50.92,293,False,CO-4F934533,NL,False,False,2.1817660103279355,0,0,True,,,,,,,,,CO-65457DE7,CO-4F934533,71.62,2025-03-11,OVERSEAS_INVESTMENT,,,,,,,,,,,1.2180383408318463,3.2076763230150647,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-A86CD376,1,CO-7870C427,IN,True,True,13.13749544228703,219.01,58,False,CO-B8A3E203,SG,False,False,2.2515642353682424,0,0,True,CO-33F54289,IN,True,True,4.358584248750675,15.94,93,False,CO-7870C427,CO-B8A3E203,172.67,2025-03-12,OVERSEAS_INVESTMENT,CO-B8A3E203,CO-33F54289,162.83429086005617,2025-09-05,FDI_EQUITY,,,,,,1,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
